id,customer_message,conversation_context,intent_label,should_escalate,expected_reason,reference_resolution,difficulty
GS0001,"Oh <USER> - when your stupid ads don’t run and you can’t close out of it and the music stops playing and you basically have to restart the app...and what’s with the song cut offs?? Seriously, what is happening with you?!??","Customer: Oh <USER> - when your stupid ads don’t run and you can’t close out of it and the music stops playing and you basically h | Spotify: <USER> Hey Michael! Can you let us know the device, operating system, and Spotify version you're running? We'll see what | Customer: <USER> Yep it’s my iPhone 5 and it’s running 11.1.2 | Spotify: <USER> Thanks. Do you remember the name of the ad? Can you also let us know the date and time when you experienced this ",playback_issue,False,Standard playback issue — auto-handle with evidence,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
GS0002,I’m so fucking annoyed. Every god damned time I try and listen to <USER> on my computer it fucking freezes. Well fuck you too then 🖕🏻🖕🏻<USER> doesn’t do this shit to me...,Customer: I’m so fucking annoyed. Every god damned time I try and listen to <USER> on my computer it fucking freezes. Well fuck yo | Spotify: <USER> Hey Ashley! Can you let us know the device/OS and Spotify version you're using? We'll see what we can suggest /AR,playback_issue,False,Standard playback issue — auto-handle with evidence,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
GS0003,<USER> make a better app. Won't even load the page so I can update payment method 👌 real quality app here crashing every time I try..,Customer: <USER> make a better app. Won't even load the page so I can update payment method 👌 real quality app here crashing every | Spotify: <USER> Hey Trenton! Does clearing your cache/cookies help? You might also want to try using an incognito window. Let us ,playback_issue,False,Standard playback issue — auto-handle with evidence,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
GS0004,Spotify stops playing music every time I open a picture on twitter now. I can't do this,"Customer: Spotify stops playing music every time I open a picture on twitter now. I can't do this | Spotify: <USER> Hey there! That's not cool. What device, operating system, and Spotify version are you using? We'll lend a hand /",playback_issue,False,Standard playback issue — auto-handle with evidence,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
GS0005,<USER> can you add a feature so I can block certain artists from my music feed? Like I never wanna hear the craptastic <USER> <USER> <USER> or <USER> ever again and ive been thumbing them down since signing up. #stopshittymusic,"Customer: <USER> can you add a feature so I can block certain artists from my music feed? Like I never wanna hear the craptastic < | Spotify: <USER> Hey Jennifer! We don't have any info on this right now, but we'll let the right team know it's something you'd li",playback_issue,False,Standard playback issue — auto-handle with evidence,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
GS0006,Is anyone else having issues with their <USER> and every damn song skipping like an old scratched vinyl record??,Customer: Is anyone else having issues with their <USER> and every damn song skipping like an old scratched vinyl record?? | Spotify: <USER> Hi Sandra! Can you let us know what device and version of Spotify you're using? We'll see what we can suggest /DR | Customer: <USER> I'm using Gaxy S6 Active and my kid has same issues with her Samsung S8. Version 8.4.23.784 | Spotify: <USER> Thanks. Can you both give this a try: log out from Spotify &gt; restart your device &gt; log back in? Did that ma,playback_issue,True,Sensitive issue or low confidence — escalate for human review,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
GS0007,<USER> Everytime I want to share what I'm listening too the app crashes or returns to the now playing screen. :/,"Customer: <USER> Everytime I want to share what I'm listening too the app crashes or returns to the now playing screen. :/ | Spotify: <USER> Hey there, help's here! Can you let us know what device/version of Spotify you're using? We'll see what we can su | Customer: <USER> I'm using a Google Pixel. Spotify version 8.4.22.875 armV7 | Spotify: <USER> Thanks! Our tech folks are investigating this as we speak. In the meantime, let us know if you need help with any",playback_issue,False,Standard playback issue — auto-handle with evidence,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
GS0008,"<USER> I'm having issues with streaming specific songs. I can't play anything from imagine dragons and other songs, too :(","Customer: <USER> I'm having issues with streaming specific songs. I can't play anything from imagine dragons and other songs, too  | Spotify: <USER> Hey Marilene! What device, operating system, and version of Spotify are you using? We'll lend a hand /SY | Customer: <USER> Samsung A3 2017, and I'm using version 8.4.22.857 armV7 | Spotify: <USER> Thanks. Can you DM us your account's username or email address? We'll take a look under the hood /RS <URL>",playback_issue,True,Sensitive issue or low confidence — escalate for human review,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
GS0009,"<USER> if your app crashes on my phone and forces me to redownload my entire library one more time, I will switch to Apple Music. Third time I’ve had to do this in a matter of a couple months.","Customer: <USER> if your app crashes on my phone and forces me to redownload my entire library one more time, I will switch to App | Spotify: <USER> Hi there. Don't worry, help's here. Can you DM us your username or email address so we can check your account? /J",playback_issue,False,Standard playback issue — auto-handle with evidence,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
GS0010,<USER> if your windows app freezes my entire computer one more fucking time I swear to fuck,"Customer: <USER> if your windows app freezes my entire computer one more fucking time I swear to fuck | Spotify: <USER> Hey James! Crashing isn't cool. Is it crashing at any specific points, e.g. at startup, during streaming? /TB",playback_issue,False,Standard playback issue — auto-handle with evidence,"Ask for device/OS/version; suggest restart, reinstall, cache clear",easy
