id,intent_label,customer_message,draft_reply,llm_groundedness,llm_correctness,llm_helpfulness,llm_safety,llm_brand_consistency,llm_conciseness,llm_overall,human_groundedness,human_correctness,human_helpfulness,human_safety,human_brand_consistency,human_conciseness,human_overall,human_notes
GS0153,offline_download_issue,<USER> hi how do I download Spotify to my tv?!,Hey there! We've just sent you a DM. Let's continue chatting there /AB,1,1,1,3,2,4,1,1,1,2,1,3,1,1.5,
GS0076,app_feature_question,Yo <USER> <USER> someone need trying to use my account while I’m using it right now.. we’re literally battling between Christmas and Mexican music right now. How do I cut them off??,Hey there! That's not cool. Could you send us a DM with your account's email address or username? We'll take a look backstage /AB,3,3,3,4,5,5,3,3,4,3,5,4,3,3.666666667,
GS0159,account_security,<USER> why has my account been hacked and playlists deleted??,Hey there! We're sorry to hear that. Can you DM us your account's email address? We'll take a look backstage /AB https://support.spotify.com,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0067,content_not_found,"<USER> station ""This is Ron Pope"" ... doesn't play any of <USER>'s new album, ""Work."" &lt;eye roll&gt; It's just too great to overlook!",<USER> Thanks for sharing that! We'd like to understand the situation better. Can you tell us more or send over a screenshot? /AB,3,3,3,4,4,4,3,3,3,4,4,3,5,3.666666667,
GS0061,content_not_found,"<USER> I submitted a new song to Spotify under my artist name, ""SNL"", but today it was released under another artist?! What to do?",Hey Sakarias! We'd recommend reaching out to your distributor. They'll work with our team to make sure your artist page gets fixed up 🙂 /AB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0016,playback_issue,<USER> WHY DOES MY APP KEEP CRASHING,"Hey Dan, sorry that didn't do the trick. We've sent you a DM with some more info so we can keep helping out /JS",5,5,5,5,5,5,5,5,4,5,5,5,5,4.833333333,
GS0010,playback_issue,<USER> if your windows app freezes my entire computer one more fucking time I swear to fuck,"Hey James! That doesn't sound right. Could you try logging out, restarting your device, and logging back in? Let us know how it goes /TB",5,4,4,5,5,5,4,5,5,4,4,5,5,4.666666667,
GS0017,playback_issue,My <USER> keeps crashing ffs,Hey there! Thanks for following up. Could you DM us a bit more info about the device and OS you're using? We'll take a closer look /AB,5,5,5,5,5,5,5,4,4,5,5,5,5,4.666666667,
GS0129,complaint_feedback,I would use <USER> more if it had a brighter looking design. I hate how dark it is 😭,Hey! We appreciate you sharing your thoughts on the design. Feel free to suggest this in our Community: https://spotify.community/ Let us know if anything else comes up! /AB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0126,complaint_feedback,<USER> pleaseeee explain these suggestions. Listening to chris brown and these arent even the same genre. Never even played anything like this on my app 😑 <URL>,"Hey there! We hear you. To reduce suggested tracks, try adding more artists or tracks into your playlists. More info: https://support.spotify.com /AB",3,3,3,4,4,5,3,3,3,4,5,5,5,4.166666667,
GS0140,complaint_feedback,i hate you <USER>,Hey! We're glad things are working out now. Let us know if anything else comes up! /AB,5,5,5,5,5,5,5,4,5,5,5,5,5,4.833333333,
GS0157,account_security,my spotify premium acc got hacked very nice,"@SpotifyCares Hey there! Thanks for following up. If you haven't already, please shoot us a DM with your account's email address so we can take a closer look backstage. /AB",5,5,5,5,5,5,5,4,5,5,5,5,5,4.833333333,
GS0019,subscription_billing,"Still blows my mind that <USER> doesn't have a ""Clean Only"" option. I would pay additional on top of my premium account for that option.",Hey there! We appreciate you sharing your thoughts on this with us. We'll make sure your feedback is passed along. /AB,5,5,4,5,5,5,5,5,5,5,5,5,5,5,
GS0162,account_security,someone hacked into my <USER> account and changed my email and worst is this bastard resubscribed to premium oh what a nightmare,"Hey Paülo, we understand. Can you DM us your username or the email address previously on your account? We'll take a look backstage /JN",5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0113,cancellation_request,<USER> I don't know what my email address is but i know my username and need to cancel a subscription,"Hi Sophie! Since you've already sent us a DM, let's continue chatting there so we can help you find your account and look into that cancellation /NJ",4,5,5,5,5,5,5,4,5,5,5,5,5,4.833333333,
GS0182,account_closure,<USER> hi can you help deactivate my a/c?,Hey there! Can you DM us your account's email address or username? We'll take a look backstage /AB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0156,offline_download_issue,Hindi ako makadownload ng <USER> 😭😭😭,"Hey there! We don't offer support in Filipino right now, but we'd be happy to help in English. Are you seeing any specific error messages when trying to download? /AB",5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0066,content_not_found,<USER> having problems seeing new episode of some podcasts. had this problem previously. can you clear my cache from behind the scenes? I did it it and still no luck,"Hey there! Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest /AB",4,4,4,5,5,5,4,4,4,5,5,5,5,4.666666667,
GS0166,account_security,<USER> Can I still avail even if I use someone else's card?,Hey! As long as the card meets the requirements here <URL> you should be good to go. Let us know if you need anything else /AB,5,5,5,5,5,5,5,5,4,5,5,5,5,4.833333333,
GS0043,account_access,<USER> my friend logged into her spotify account on my iphone via facebook now i don’t know how to change it back to log in on my facebook. what do i do?,Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /AB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0031,subscription_billing,"<USER> Hi I’ve been kicked out my premium account (I get premium with my Vodafone contract) &amp; can’t remember any of my sign in details, what do I need to do?",Hey there! Could you send us a DM with any email addresses or usernames you may have used? We'll take a look backstage /AB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0025,subscription_billing,<USER> I can’t sign up to premium as I’m with Tesco mobile. How do I sign up?,Hi Freddie! We've sent you a DM. Let's chat over there to help you get signed up with your mobile provider /WW,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0068,content_not_found,hello <USER> im still waiting even though i finished the whole album already,Hey Gi! We’ll have it available to you as soon as it's available to us. Stay tuned! /JN,5,5,5,5,5,5,5,4,5,5,5,5,5,4.833333333,
GS0099,technical_issue,"<USER> can't connect my Spotify to Hulu! When it moves onto Hulu, I receive the box ""This field is required"" and I'm back to Spotify",Hey there! We've already sent a DM your way to help with this. Let's chat there so we can take a closer look backstage /AN,5,5,5,5,5,5,5,4,5,5,5,5,5,4.833333333,
GS0070,content_not_found,I NEED THIS ALBUM SPOTIFY,"@SpotifyCares We’d love to have all music available, but availability depends on when content is provided to us. We'll have it as soon as it's available to us! /AB",4,4,4,5,5,5,4,5,5,5,5,5,5,5,
GS0114,cancellation_request,<USER> I want to cancel my account but it won't let me sign in !!!,"Hey Rebecca, help's here! Could you send us a DM with your account's email address and username? We'll take a closer look /AB",5,5,5,5,5,5,5,5,3,5,5,5,5,4.666666667,
GS0097,technical_issue,<USER> is there a bug because everytime I play a video while I’m listening to Spotify it goes off like normal but when I close the video and Try to turn the music back on it says it’s playing but there won’t be any sound,"Hey Chris! Thanks for the info. Just to check, does restarting your device or reinstalling the app help get the sound back? Let us know how it plays out /AB",3,4,4,5,5,5,4,5,5,5,5,5,5,5,
GS0020,subscription_billing,<USER> So premium is free now? You're not going to charge me next month? Great!,Hey Gary! The 30-day trial is available if you haven't had Premium before. Feel free to DM us your email address if you'd like us to take a closer look backstage /DV,5,5,5,5,5,5,5,5,5,5,4,5,5,4.833333333,
GS0046,account_access,"<USER> hi, i can't seem to access the <URL> website from uk",Thanks for sharing. We'll look into it! Have you tried using a private/incognito window or a different browser? Let us know how it goes /AB,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
GS0077,app_feature_question,"<USER>, please how do I stop this! Not the first time. <URL>","Hey Jack! Help's here. Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest /AB",5,4,4,5,5,5,4,5,5,5,5,5,5,5,
